CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.02.02.07;Outros Passivos;62.0000000000;N
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.02.02.07;Outros Passivos;2.0000000000;N
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.03;Tributos Diferidos;55.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.03;Tributos Diferidos;556.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.03.01;Imposto de Renda e Contribuição Social Diferidos;55.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.03.01;Imposto de Renda e Contribuição Social Diferidos;556.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.04;Provisões;3405.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.04;Provisões;1274.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.04.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;3405.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.04.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;1274.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.04.01.01;Provisões Fiscais;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.04.01.01;Provisões Fiscais;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.04.01.02;Provisões Previdenciárias e Trabalhistas;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.04.01.02;Provisões Previdenciárias e Trabalhistas;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.04.01.03;Provisões para Benefícios a Empregados;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.04.01.03;Provisões para Benefícios a Empregados;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.04.01.04;Provisões Cíveis;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.04.01.04;Provisões Cíveis;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.04.01.05;Provisões para Processos Judiciais;3405.0000000000;N
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.04.01.05;Provisões para Processos Judiciais;1274.0000000000;N
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.04.02;Outras Provisões;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.04.02;Outras Provisões;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.04.02.01;Provisões para Garantias;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.04.02.01;Provisões para Garantias;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.04.02.02;Provisões para Reestruturação;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.04.02.02;Provisões para Reestruturação;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.04.02.03;Provisões para Passivos Ambientais e de Desativação;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.04.02.03;Provisões para Passivos Ambientais e de Desativação;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.05;Passivos sobre Ativos Não-Correntes a Venda e Descontinuados;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.05;Passivos sobre Ativos Não-Correntes a Venda e Descontinuados;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.05.01;Passivos sobre Ativos Não-Correntes a Venda;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.05.01;Passivos sobre Ativos Não-Correntes a Venda;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.05.02;Passivos sobre Ativos de Operações Descontinuadas;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.05.02;Passivos sobre Ativos de Operações Descontinuadas;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.06;Lucros e Receitas a Apropriar;22995.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.06;Lucros e Receitas a Apropriar;17246.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.06.01;Lucros a Apropriar;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.06.01;Lucros a Apropriar;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.06.02;Receitas a Apropriar;22995.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.06.02;Receitas a Apropriar;17246.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.02.06.03;Subvenções de Investimento a Apropriar;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.02.06.03;Subvenções de Investimento a Apropriar;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.03;Patrimônio Líquido Consolidado;349470.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.03;Patrimônio Líquido Consolidado;518095.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.03.01;Capital Social Realizado;356123.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.03.01;Capital Social Realizado;523439.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.03.02;Reservas de Capital;-1622.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.03.02;Reservas de Capital;664.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.03.02.01;Ágio na Emissão de Ações;17526.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.03.02.01;Ágio na Emissão de Ações;17526.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.03.02.02;Reserva Especial de Ágio na Incorporação;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.03.02.02;Reserva Especial de Ágio na Incorporação;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.03.02.03;Alienação de Bônus de Subscrição;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.03.02.03;Alienação de Bônus de Subscrição;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.03.02.04;Opções Outorgadas;21603.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.03.02.04;Opções Outorgadas;23978.0000000000;S
